Rank,Channel Name,Subscribers,Total Views,Total Videos,Category,Channel Type,Views Rank,Views Last 30 Days,Min Monthly Earnings,Max Monthly Earnings,Min Yearly Earnings,Max Yearly Earnings,Year,Month,Day,Month no.,Created Date
3,Mrbeast,166000000,28368841870,741,Entertainment,Entertainment,48,1348000000,337000,5400000,4000000,64700000,2012,Feb,20,2,20-Feb-12
10,Vlad And Niki,98900000,77180169894,574,Entertainment,Entertainment,8,580574000,145100,2300000,1700000,27900000,2018,Apr,23,4,23-Apr-18
22,Zee Tv,70500000,73139054467,129204,Entertainment,Entertainment,9,1707000000,426800,6800000,5100000,81900000,2005,Dec,11,12,11-Dec-05
48,Shemaroo,47400000,22519705183,11451,Entertainment,Entertainment,97,232744000,58200,931000,698200,11200000,2007,Sep,1,9,01-Sep-07
54,Voot Kids,45500000,21388725229,4660,Entertainment,Entertainment,105,233988000,58500,936000,702000,11200000,2016,Nov,23,11,23-Nov-16
55,Felipe Neto,45200000,16602198273,4331,Entertainment,Entertainment,174,130359000,32600,521400,391100,6300000,2006,May,16,5,16-May-06
57,Har Pal Geo,44600000,41139050371,100755,Entertainment,Entertainment,20,1337000000,334300,5300000,4000000,64200000,2008,Jan,2,1,02-Jan-08
66,Ary Digital Hd,43200000,37939780685,109871,Entertainment,Entertainment,24,1149000000,287300,4600000,3400000,55200000,2016,Jul,11,7,11-Jul-16
69,Like Nastya Show,42400000,19547696190,618,Entertainment,Entertainment,128,53202000,13300,212800,159600,2600000,2017,Nov,14,11,14-Nov-17
83,Workpointofficial,39000000,36131228583,72580,Entertainment,Entertainment,27,130461000,32600,521800,391400,6300000,2012,Nov,5,11,05-Nov-12
89,Theellenshow,38200000,22756581750,15672,Entertainment,Entertainment,93,21804000,5500,87200,65400,1000000,2006,Nov,21,11,21-Nov-06
93,Like Nastya Esp,37600000,18208196857,743,Entertainment,Entertainment,145,321026000,80300,1300000,963100,15400000,2017,Apr,22,4,22-Apr-17
112,Ryan'S World,35200000,55299840198,2453,Entertainment,Entertainment,15,238613000,59700,954500,715800,11500000,2015,Mar,17,3,17-Mar-15
118,Jess No Limit,34000000,3963007415,2284,Entertainment,Entertainment,1882,547141000,136800,2200000,1600000,26300000,2017,Sep,7,9,07-Sep-17
132,Eros Now Music,32700000,17853798780,1521,Entertainment,Entertainment,8055,20263000,5100,81100,60800,972600,2012,Mar,14,3,14-Mar-12
140,Starplus,32000000,26800674545,44892,Entertainment,Entertainment,60,1667000000,416800,6700000,5000000,80000000,2006,May,19,5,19-May-06
142,Gma  Network,31900000,19428308461,93311,Entertainment,Entertainment,129,798510000,199600,3200000,2400000,38300000,2006,Nov,20,11,20-Nov-06
148,Lucas And Marcus,31600000,11615848291,1321,Entertainment,Entertainment,339,312099000,78000,1200000,936300,15000000,2011,Jan,19,1,19-Jan-11
160,Ah,30400000,4332274962,2197,Entertainment,Entertainment,1701,21440000,5400,85800,64300,1000000,2014,Jan,26,1,26-Jan-14
182,The Late Late Show With James Corden,28400000,9956764048,5809,Entertainment,Entertainment,445,26435000,6600,105700,79300,1300000,2006,Nov,21,11,21-Nov-06
186,Hum Tv,28300000,23844936965,106983,Entertainment,Entertainment,80,684860000,171200,2700000,2100000,32900000,2011,May,25,5,25-May-11
202,Dushyant Kukreja,27100000,17318452893,889,Entertainment,Entertainment,159,429692000,107400,1700000,1300000,20600000,2015,Sep,26,9,26-Sep-15
205,Renato Garcia Yt,26900000,7938616641,3956,Entertainment,Entertainment,664,82912000,20700,331600,248700,4000000,2011,Sep,29,9,29-Sep-11
208,Netflix,26700000,7173668905,6471,Entertainment,Entertainment,797,118226000,29600,472900,354700,5700000,2012,Jul,17,7,17-Jul-12
213,Panda Boi,26400000,17211600007,967,Entertainment,Entertainment,158,1225000000,306400,4900000,3700000,58800000,2020,Dec,5,12,05-Dec-20
214,Bb Ki Vines,26300000,4749833967,190,Entertainment,Entertainment,1462,17264000,4300,69100,51800,828600,2015,Jun,20,6,20-Jun-15
241,Trans7 Official,25000000,14169516119,89179,Entertainment,Entertainment,251,123189000,30800,492800,369600,5900000,2014,Sep,4,9,04-Sep-14
243,Dan Rhodes,24800000,17387583720,1644,Entertainment,Entertainment,157,331889000,83000,1300000,995700,15900000,2015,Oct,30,10,30-Oct-15
245,America'S Got Talent,24800000,3699352704,1894,Entertainment,Entertainment,2122,134412000,33600,537600,403200,6500000,2006,Jun,29,6,29-Jun-06
252,Like Nastya Ae,24400000,12385924995,658,Entertainment,Entertainment,312,169865000,42500,679500,509600,8200000,2018,Dec,19,12,19-Dec-18
267,James Charles,23900000,4067878931,505,Entertainment,Entertainment,1860,58126000,14500,232500,174400,2800000,2015,Dec,1,12,01-Dec-15
268,Collins Key,23900000,6582932625,257,Entertainment,Entertainment,911,10853000,2700,43400,32600,520900,2011,Aug,9,8,09-Aug-11
270,Venus Entertainment,23800000,5663125358,70,Entertainment,Entertainment,367929,31633,8,127,95,1500,2016,May,17,5,17-May-16
279,Logan Paul,23600000,5994002464,719,Entertainment,Entertainment,1057,10803000,2700,43200,32400,518600,2015,Aug,29,8,29-Aug-15
280,Maya And Mary,23600000,6766461070,552,Entertainment,Entertainment,883,44542000,11100,178200,133600,2100000,2013,Aug,30,8,30-Aug-13
286,Sesame Street,23300000,22471357411,3657,Entertainment,Entertainment,99,124187000,31000,496700,372600,6000000,2006,Jan,16,1,16-Jan-06
289,Akshay Nagwadiya,23200000,7966720147,595,Entertainment,Entertainment,660,321179000,80300,1300000,963500,15400000,2017,Oct,25,10,25-Oct-17
297,Drossrotzank,23000000,6041264489,1598,Entertainment,Entertainment,1040,35539000,8900,142200,106600,1700000,2006,Mar,9,3,09-Mar-06
303,Kl Bro Biju Rithvik,22800000,17988347989,1841,Entertainment,Entertainment,143,2033000000,508100,8100000,6100000,97600000,2020,Jul,21,7,21-Jul-20
305,Like Nastya Prt,22700000,11568118121,654,Entertainment,Entertainment,344,96613000,24200,386500,289800,4600000,2019,Apr,9,4,09-Apr-19
318,Kinder Spielzeug Kanal (Kidibli),22200000,11136266461,999,Entertainment,Entertainment,370,139333000,34800,557300,418000,6700000,2015,Sep,25,9,25-Sep-15
336,Eva Bravo Play,21600000,9346383505,228,Entertainment,Entertainment,507,63919000,16000,255700,191800,3100000,2019,May,7,5,07-May-19
346,Infinite,21300000,5141834668,1608,Entertainment,Entertainment,1296,68350000,17100,273400,205100,3300000,2014,Aug,21,8,21-Aug-14
347,Azhan5Star,21300000,10047736580,669,Entertainment,Entertainment,436,236293000,59100,945200,708900,11300000,2021,Feb,2,2,02-Feb-21
348,Dangal Tv Channel,21300000,12895427184,20225,Entertainment,Entertainment,291,561020000,140300,2200000,1700000,26900000,2017,Aug,2,8,02-Aug-17
353,Nigahiga,21000000,4380564906,403,Entertainment,Entertainment,1671,2476000,619,9900,7400,118900,2006,Jul,21,7,21-Jul-06
